x	y	z	value	use	f_bg	f_signal_count	f_peak_signal	f_x	f_y	f_z	f_sigma_lateral	f_sigma_axial	f_status	f_error	f_corr
1999.000000	2009.000000	12.000000	20347.869141	1.000000	669.020691	3228134.250000	251160.093750	1998.741455	2009.173340	12.039421	1.253364	0.519490	27.000000	-31884158.000000	0.848177
1805.000000	1468.000000	12.000000	20234.183594	1.000000	801.727478	3723532.500000	279129.781250	1805.401245	1467.765747	12.370146	1.284206	0.513582	27.000000	-36906800.000000	0.836258
1466.000000	385.000000	13.000000	20152.957031	1.000000	583.614746	4046241.000000	299673.843750	1466.256470	384.496796	12.498491	1.302523	0.505315	27.000000	-40556588.000000	0.748124
1922.000000	1955.000000	12.000000	19974.664062	1.000000	836.368286	3239878.250000	258160.562500	1921.967896	1955.078491	12.160773	1.230322	0.526419	27.000000	-31864040.000000	0.882712
928.000000	772.000000	13.000000	19943.205078	1.000000	1017.236755	3795597.000000	293614.093750	927.663269	771.445312	12.613015	1.387294	0.426478	27.000000	-37465512.000000	0.811477
296.000000	1087.000000	15.000000	19844.632812	1.000000	1558.320557	3305980.250000	289408.937500	295.708740	1086.930054	15.007653	1.163925	0.535388	27.000000	-32233850.000000	0.846169
1857.000000	381.000000	22.000000	19833.601562	1.000000	71.444992	3932604.750000	259340.953125	1856.299194	381.132721	21.414501	1.236014	0.630221	27.000000	-39425036.000000	0.759032
1165.000000	1919.000000	14.000000	19826.738281	1.000000	919.790588	3218724.250000	263865.250000	1165.117065	1918.995239	14.170610	1.213243	0.526182	27.000000	-31598920.000000	0.881393
36.000000	38.000000	13.000000	19807.976562	1.000000	2449.233398	3542257.000000	267151.468750	36.004837	37.854885	13.004212	1.254142	0.535253	27.000000	-33892112.000000	0.792606
1399.000000	1823.000000	12.000000	19760.927734	1.000000	409.490784	3624074.250000	236001.828125	1398.520020	1822.756470	12.313658	1.364804	0.523445	27.000000	-35830240.000000	0.823873
1275.000000	1541.000000	15.000000	19685.058594	1.000000	1134.257080	3676788.500000	327515.031250	1275.154785	1541.308105	15.450428	1.144928	0.543765	27.000000	-36587736.000000	0.813704
1845.000000	101.000000	12.000000	19504.677734	1.000000	1320.506836	3486068.250000	293023.062500	1844.850952	100.583580	12.306006	1.187837	0.535366	27.000000	-34204784.000000	0.840633
1671.000000	880.000000	12.000000	19488.357422	1.000000	269.186920	3442710.500000	245723.890625	1671.192383	880.316101	12.334459	1.303171	0.523818	27.000000	-34094592.000000	0.852359
1369.000000	1726.000000	13.000000	19304.591797	1.000000	727.931885	3799718.250000	229913.187500	1369.091797	1726.181519	12.599192	1.463595	0.489864	27.000000	-37221504.000000	0.806299
1224.000000	2043.000000	12.000000	19276.238281	1.000000	454.231567	3573433.500000	325042.875000	1224.001709	2043.449707	12.457191	1.285255	0.422568	27.000000	-35780532.000000	0.783948
669.000000	817.000000	13.000000	19202.496094	1.000000	0.000000	3422993.000000	105738.960938	669.000000	817.000000	13.000000	1.509405	0.902173	27.000000	-32578924.000000	0.831245
